Property_Type,Location,Price,Price_Currency,Total_Area_m2,Covered_Area_m2,Room_number,Bathroom_number,Expenses,Expenses_Currency
Departamento,"Caballito, Capital Federal",109000,USD,60,60, 3, 1,15000,ARS
Departamento,"Primera Junta, Mar Del Plata, General Pueyrredon, Buenos Aires",149000,USD,75,69, 3, 1,N/A,N/A
Departamento,"Primera Junta, Mar Del Plata, General Pueyrredon, Buenos Aires",89000,USD,54,49, 2, 1,N/A,N/A
Departamento,"Cinco Saltos, General Roca,",25000,USD,62.68,51.62, 3, 1,N/A,N/A
Departamento,"Cordoba, Capital,",390000,USD,219,204, 5, 2,45000,ARS
Departamento,"Primera Junta, Mar Del Plata, General Pueyrredon, Buenos Aires",49000,USD,42,40, 2, 1,6000,ARS
Departamento,"Balvanera, Capital Federal",45600,USD,31.21,31.21, 2, 1,8000,USD
Departamento,"Primera Junta, Mar Del Plata, General Pueyrredon, Buenos Aires",49900,USD,37,37, 2, 1,11000,ARS
Departamento,"Pergamino, Pergamino, Buenos Aires",105000,USD,86,80, 5, 2,6000,ARS
Departamento,"Neuquen, Confluencia,",220000,USD,199.5,156, 7, 3,20000,ARS
Departamento,"Palermo, Capital Federal",88500,USD,32.45,29.28, 1, 1,N/A,N/A
Departamento,"San Isidro, San Isidro, Buenos Aires",106560,USD,70,60.12, 2, 1,N/A,N/A
Departamento,"Belgrano, Capital Federal",145000,USD,68,53.03, 2, 1,N/A,N/A
Departamento,Villa Saenz,86000,USD,65,60, 3, 1,7420,ARS
Departamento,"Palermo, Capital Federal",228750,USD,91.5,70, 2, 1,N/A,N/A
Departamento,"Palermo Soho, Palermo, Capital Federal",120000,USD,39,37, 2, 1,N/A,N/A
Departamento,"San Isidro, San Isidro, Buenos Aires",49000,USD,19,19, 1, 1,N/A,N/A
Departamento,"Floresta, Capital Federal",57000,USD,70.1,48.1, 2, 1,4040,ARS
Departamento,"Neuquen, Confluencia,",78000,USD,46,46, 2, 1,7000,ARS
Departamento,"Kilometro 45, Pilar, Buenos Aires",85000,USD,90,79, 3, 1,N/A,N/A
Departamento,"San Juan, Capital, San Juan",7500000,ARS,65,65, 5, 1,N/A,N/A
Departamento,"Monte Grande, Esteban Echeverria, Buenos Aires",60000,USD,52,39, 3, 1,N/A,N/A
Departamento,"Chilavert, Villa Ballester, General San Martin, Buenos Aires",50000,USD,52,43, 2, 1,1344,ARS
Departamento,"Villa Luro, Capital Federal",120000,USD,68.7,62.7, 3, 1,19000,USD
Departamento,"La Perla Sur, Mar Del Plata, General Pueyrredon, Buenos Aires",50000,USD,41.29,37, 2, 1,7000,ARS
Departamento,"San Miguel, San Miguel, Buenos Aires",63500,USD,55,51, 3, 1,8000,ARS
Departamento,"La Plata, La Plata, Buenos Aires",54000,USD,76.72,49.09, 3, 1,1,USD
Departamento,"Recoleta, Capital Federal",102000,USD,65.97,48.79, 2, 1,11000,ARS
Departamento,"Recoleta, Capital Federal",92000,USD,44.17,44.17, 2, 1,9500,ARS
Departamento,"La Boca, Capital Federal",60000,USD,38,34, 1, 1,N/A,N/A
Departamento,"La Boca, Capital Federal",78000,USD,47,43, 1, 1,N/A,N/A
Departamento,"San Martin, Cordoba, Capital,",35000,USD,40,40, 4, 1,8000,USD
Departamento,San,54900,USD,38.2,33.6, 2, 1,9500,ARS
Departamento,"La Isla, Recoleta 200, Recoleta, Capital Federal",648500,USD,211,195, 5, 2,35000,ARS
Departamento,"Santa Fe, Santa Fe Capital, Santa Fe",22000,USD,51,51, 4, 1,2500,USD
Departamento,"Caballito Sur, Caballito, Capital Federal",150000,USD,93,73, 3, 1,19000,ARS
Departamento,"Rosario, Rosario, Santa Fe",34000,USD,28,28, 1, 1,N/A,N/A
Departamento,"Vicente Lopez, Vicente Lopez, Buenos Aires  Solicitar precio",Solicitar,precio,52,45, 3, 1,7000,
Departamento,"Belgrano, Capital Federal",125000,USD,63,57, 3, 1,20987,ARS
Departamento,"Recoleta, Capital Federal  Solicitar precio",Solicitar,precio,43.64,41.91, 2, 1,13000,ARS
Departamento,"San Telmo, Capital Federal",295000,USD,169.9,169.9, 7, 2,14580,USD
Departamento,"Almagro, Capital Federal  Solicitar precio",Solicitar,precio,50,47, 2, 1,11000,ARS
Departamento,"Centro, Rosario, Rosario, Santa Fe",55000,USD,39.99,35.07, 1, 1,5000,USD
Departamento,"Caballito Norte, Caballito, Capital Federal",89000,USD,33.58,32.23, 2, 1,6000,USD
Departamento,"Belgrano, Capital Federal",225000,USD,94.1,91.41, 3, 1,41000,USD
Departamento,"Belgrano, Capital Federal",230000,USD,62.26,53.89, 2, 1,N/A,N/A
Departamento,"Villa Devoto, Capital Federal",144000,USD,91,66, 2, 1,20000,ARS
Departamento,"Palermo Chico, Palermo, Capital Federal",88000,USD,34,34, 2, 1,12000,ARS
Departamento,"Balvanera, Capital Federal",85000,USD,80,72, 3, 1,10500,ARS
Departamento,"Caballito, Capital Federal",54000,USD,37.4,37.4, 2, 1,10000,ARS
Departamento,"Belgrano, Capital Federal",480000,USD,150,150, 4, 2,47000,ARS
Departamento,"Almagro, Capital Federal",79000,USD,52,48, 3, 1,6000,ARS
Departamento,"Lujan De Cuyo, Lujan De Cuyo, Mendoza",82000,USD,90,75, 3, 1,4500,ARS
Departamento,"Versalles, Capital Federal",75000,USD,45,45, 1, 1,N/A,N/A
Departamento,Capital Federal,104000,USD,40,37, 1, 1,N/A,N/A
Departamento,"Balvanera, Capital Federal",65000,USD,41,41, 2, 1,6200,ARS
Departamento,"Belgrano, Capital Federal",459000,USD,237,223, 7, 3,50000,USD
Departamento,"Santa Fe, Santa Fe Capital, Santa Fe  Solicitar precio 72",Solicitar,precio,72,65, 3, 1,N/A,N/A
Departamento,"Belgrano, Capital Federal",135000,USD,54.01,45.16, 2, 1,25000,ARS
Departamento,"Villa Urquiza, Capital Federal",89000,USD,41.2,36.65, 1, 1,6000,ARS
Departamento,"Balvanera, Capital Federal",69900,USD,40.8,38.62, 2, 1,7400,USD
Departamento,"Entre Boulevares, Santa Fe, Santa Fe Capital, Santa Fe",39000,USD,36.9,32, 1, 1,2800,ARS
Departamento,"Ramos Mejia, La Matanza, Buenos Aires",45000,USD,38,38, 2, 1,7300,ARS
Departamento,"La Plata, La Plata, Buenos Aires",59900,USD,73,60, 3, 1,14000,ARS
Departamento,"Palermo, Capital Federal",72000,USD,42,42, 1, 1,10000,ARS
Departamento,"San Isidro, San Isidro, Buenos Aires",198000,USD,67.74,59, 2, 1,14000,ARS
Departamento,"Belen De Escobar, Escobar, Buenos Aires",65000,USD,36.72,35.31, 2, 1,3500,ARS
Departamento,"Villa Urquiza, Capital Federal",249000,USD,117,107, 4, 2,16000,ARS
Departamento,"Recoleta, Capital Federal",74000,USD,41.24,41.24, 1, 1,11000,ARS
Departamento,"Nueva Cordoba, Cordoba, Capital,",22000,USD,55,55, 3, 1,N/A,N/A
Departamento,"Centro, Rosario, Rosario, Santa Fe",45000,USD,40,29, 1, 1,3600,USD
Departamento,"Martinez, San Isidro, Buenos Aires",265000,USD,113,84, 3, 1,27000,ARS
Departamento,"Centro, Rosario, Rosario, Santa Fe",45000,USD,40,29, 1, 1,4000,ARS
Departamento,"Santa Fe, Santa Fe Capital, Santa Fe",35000,USD,44,40, 3, 1,1500,USD
Departamento,"Palermo Hollywood, Palermo, Capital Federal",111000,USD,45.5,40, 2, 1,17000,ARS
Departamento,"San Cristobal, Capital Federal",150000,USD,60.3,56.9, 3, 2,N/A,N/A
Departamento,"Parque Chacabuco, Capital Federal",79900,USD,44.87,38, 1, 1,4000,ARS
Departamento,"Villa Devoto, Capital Federal",149000,USD,102,56, 2, 1,9000,ARS
Departamento,"Villa Ballester, General San Martin, Buenos Aires",119000,USD,83,69, 3, 1,6000,ARS
Departamento,"Villa Ballester, General San Martin, Buenos Aires",69000,USD,48,45, 1, 1,6000,ARS
Departamento,"Santa Fe, Santa Fe Capital, Santa Fe",105000,USD,69,63, 4, 2,6000,ARS
Departamento,"Villa Crespo, Capital Federal",72500,USD,35.7,31.5, 1, 1,11500,ARS
Departamento,,79000,USD,74.87,66.76, 3, 2,8300,ARS
Departamento,"Moron, Moron, Buenos Aires",40000,USD,35.87,33.66, 2, 1,23000,USD
Departamento,"Centro, Rosario, Rosario, Santa Fe",92500,USD,89,76, 6, 2,4000,USD
Departamento,"Balvanera, Capital Federal",55000,USD,34,34, 2, 1,7500,USD
Departamento,"Wilde, Avellaneda, Buenos Aires",55000,USD,43,36, 2, 1,N/A,N/A
Departamento,"Martin, Rosario, Rosario, Santa Fe  Solicitar precio",Solicitar,precio,98,90, 5, 2,15000,ARS
